"code","name","description","short_description"
2053,"Miniaturka wody perfumowanej Caramella","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia. <br /><br />Kategoria zapachu: gourmand<br />Nuty głowy: migdał, kawa<br />Nuty serca: tuberoza, jaśmin<br />Nuty podstawy: fasolka tonka, kakao, drzewo sandałowe i wanilia.<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2054,"Miniaturka wody perfumowanej La Rosita","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.  <br /><br />Kategoria zapachu: kwiatowa<br />Nuty głowy: piwonia, frezja, liczi<br />Nuty serca: magnolia, róża, konwalia<br />Nuty bazy: ambra, drewno cedrowe<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2057,"Torebka prezentowa Blue Nature (1 szt.)","<p>Ekskluzywna, biała torebka papierowa, będąca połaczeniem elegancji i luksusu. Doskonała do pakowania kosmetyków i innych drobnych upominków od Blue Nature.</p>
<ul><li>Materiał: papier laminowany</li>
<li>Wymiary: 24 x 24 cm</li>
<li>Uchwyt: sznurkowy</li>
</ul>",
2058,"Puszka na kawę  - czarna",,
2061,"Torebka papierowa ECO Blue Nature","<ul><li>Ekologiczna</li><li>Prosta</li><li>Elegancka</li><li>Idealna na produkty Blue Nature i nie tylko</li><li>Wymiary: 230 x 83 x 180 mm</li></ul>",
2066,"Miniaturka perfum Lato w Wenecji 1 ml","<h4><big>Informacje</big></h4><p><span style=""color:#2445a2;""><strong>Dla Kobiety romantycznej i zmysłowej.</strong></span><br /><br />Orzeźwiająca i zarazem pełna słodyczy. Romantyczna jak lato w Wenecji, zmysłowa jak jaśmin królujący w nucie serca.<br /><br /><strong>Nuta głowy</strong><br />cytryna, liście mięty, różowy pieprz<br /><br /><strong>Nuta serca</strong><br />jaśmin<br /><br /><strong>Nuta podstawy</strong><br />cedr, brązowy cukier, drzewo kaszmirowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2067,"Reklamówki dla klientów (10 szt.)","<p>W sam raz do pakowania, transportu i przechowywania dowolnych produktów Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku z uchwytem. Trwałe, wytrzymałe, wodoodporne, wykonane z folii.</p><ul><li>Wymiary: 32 x 9 x 55 cm</li></ul>",
2070,"Reklamówki do startera (1 szt.)","<p>W sam raz do pakowania, transportu i przechowywania dowolnych  produktów  Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku. Super mocne, trwałe, wytrzymałe, wodoodporne, wykonane z grubej folii o wysokiej gęstości.</p><ul><li>Wymiary: 36,3 x 8 x 34,4 cm</li></ul>",
2071,"Próbka kremu do twarzy na dzień i na noc Hydroclinic, 2 ml – 1 szt.",,
2072,"Próbka kremu do twarzy na dzień i na noc HYDROCLINIC, 2 ml – pakiet 5 szt","<p>Klientki uwielbiają próbować! <br />Od teraz możesz rozdawać swoim Klientkom próbki kremu Hydroclinic do twarzy (2 ml) – świetne narzędzie sprzyjające wzrostowi sprzedaży.<br /><br />Dostępne w pakietach po 5 sztuk.</p>",
2074,"Piórnik na próbki zapachów","<p>Stylowy piórnik z logo Betterware i Blue Nature na 10 próbek zapachów to profesjonalne narzędzie prezentowania próbek klientom! Wykonany ze skóry eko wysokiej jakości, w kolorze granatowym, wyścielany tkaniną przypominającą welurową, zamykany na zamek błyskawiczny. Na zewnętrznej części wytłoczone logo Betterware i Blue Nature.</p>
<p>Piórnik nie zawiera próbek.</p>",
2075,"Miniaturka męskiej wody perfumowanej Spartan","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom. Męski i zdecydowany, intryguje oryginalnymi nutami. Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem. Jaśmin i różowy pieprz rozpalają zmysły.<br /><br /><strong>Nuta głowy</strong><br />kadzidło, gałka muszkatołowa, grejpfrut, cytryna<br /><br /><strong>Nuta serca</strong><br />drzewo sandałowe, bursztyn, różowy pieprz<br /><br /><strong>Nuta bazy</strong><br />jaśmin, imbir, paczuli<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2076,"Miniaturka wody perfumowanej Caramella","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia. <br /><br />Kategoria zapachu: gourmand<br />Nuty głowy: migdał, kawa<br />Nuty serca: tuberoza, jaśmin<br />Nuty podstawy: fasolka tonka, kakao, drzewo sandałowe i wanilia.<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2077,"Miniaturka wody perfumowanej La Rosita","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.  <br /><br />Kategoria zapachu: kwiatowa<br />Nuty głowy: piwonia, frezja, liczi<br />Nuty serca: magnolia, róża, konwalia<br />Nuty bazy: ambra, drewno cedrowe<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2078,"Torebka prezentowa Blue Nature (1 szt.)","<p>Ekskluzywna, biała torebka papierowa, będąca połaczeniem elegancji i luksusu. Doskonała do pakowania kosmetyków i innych drobnych upominków od Blue Nature.</p>
<ul><li>Materiał: papier laminowany</li>
<li>Wymiary: 24 x 24 cm</li>
<li>Uchwyt: sznurkowy</li>
</ul>",
2079,"Puszka na kawę  - czarna",,
2080,"Torebka papierowa ECO Blue Nature","<ul><li>Ekologiczna</li><li>Prosta</li><li>Elegancka</li><li>Idealna na produkty Blue Nature i nie tylko</li><li>Wymiary: 230 x 83 x 180 mm</li></ul>",
2081,"Miniaturka perfum Lato w Wenecji 1 ml","<h4><big>Informacje</big></h4><p><span style=""color:#2445a2;""><strong>Dla Kobiety romantycznej i zmysłowej.</strong></span><br /><br />Orzeźwiająca i zarazem pełna słodyczy. Romantyczna jak lato w Wenecji, zmysłowa jak jaśmin królujący w nucie serca.<br /><br /><strong>Nuta głowy</strong><br />cytryna, liście mięty, różowy pieprz<br /><br /><strong>Nuta serca</strong><br />jaśmin<br /><br /><strong>Nuta podstawy</strong><br />cedr, brązowy cukier, drzewo kaszmirowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2082,"Reklamówki dla klientów (10 szt.)","<p>W sam raz do pakowania, transportu i przechowywania dowolnych produktów Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku z uchwytem. Trwałe, wytrzymałe, wodoodporne, wykonane z folii.</p><ul><li>Wymiary: 32 x 9 x 55 cm</li></ul>",
2083,"Reklamówki do startera (1 szt.)","<p>W sam raz do pakowania, transportu i przechowywania dowolnych  produktów  Blue Nature, BetterStyle. Uniwersalne, niebieskie reklamówki wielokrotnego użytku. Super mocne, trwałe, wytrzymałe, wodoodporne, wykonane z grubej folii o wysokiej gęstości.</p><ul><li>Wymiary: 36,3 x 8 x 34,4 cm</li></ul>",
2086,"Próbka kremu do twarzy na dzień i na noc Hydroclinic, 2 ml – 1 szt.",,
2087,"Próbka kremu do twarzy na dzień i na noc HYDROCLINIC, 2 ml – pakiet 5 szt","<p>Klientki uwielbiają próbować! <br />Od teraz możesz rozdawać swoim Klientkom próbki kremu Hydroclinic do twarzy (2 ml) – świetne narzędzie sprzyjające wzrostowi sprzedaży.<br /><br />Dostępne w pakietach po 5 sztuk.</p>",
2088,"Piórnik na próbki zapachów","<p>Stylowy piórnik z logo Betterware i Blue Nature na 10 próbek zapachów to profesjonalne narzędzie prezentowania próbek klientom! Wykonany ze skóry eko wysokiej jakości, w kolorze granatowym, wyścielany tkaniną przypominającą welurową, zamykany na zamek błyskawiczny. Na zewnętrznej części wytłoczone logo Betterware i Blue Nature.</p>
<p>Piórnik nie zawiera próbek.</p>",
2095,"Miniaturka męskiej wody perfumowanej Spartan","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom. Męski i zdecydowany, intryguje oryginalnymi nutami. Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem. Jaśmin i różowy pieprz rozpalają zmysły.<br /><br /><strong>Nuta głowy</strong><br />kadzidło, gałka muszkatołowa, grejpfrut, cytryna<br /><br /><strong>Nuta serca</strong><br />drzewo sandałowe, bursztyn, różowy pieprz<br /><br /><strong>Nuta bazy</strong><br />jaśmin, imbir, paczuli<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2100,"Miniaturka wody perfumowanej Caramella","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia. <br /><br />Kategoria zapachu: gourmand<br />Nuty głowy: migdał, kawa<br />Nuty serca: tuberoza, jaśmin<br />Nuty podstawy: fasolka tonka, kakao, drzewo sandałowe i wanilia.<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
2101,"Miniaturka wody perfumowanej La Rosita","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.  <br /><br />Kategoria zapachu: kwiatowa<br />Nuty głowy: piwonia, frezja, liczi<br />Nuty serca: magnolia, róża, konwalia<br />Nuty bazy: ambra, drewno cedrowe<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
3333,"Miniaturka męskiej wody perfumowanej Spartan","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom. Męski i zdecydowany, intryguje oryginalnymi nutami. Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem. Jaśmin i różowy pieprz rozpalają zmysły.<br /><br /><strong>Nuta głowy</strong><br />kadzidło, gałka muszkatołowa, grejpfrut, cytryna<br /><br /><strong>Nuta serca</strong><br />drzewo sandałowe, bursztyn, różowy pieprz<br /><br /><strong>Nuta bazy</strong><br />jaśmin, imbir, paczuli<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
3334,"Miniaturka wody perfumowanej Caramella","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia. <br /><br />Kategoria zapachu: gourmand<br />Nuty głowy: migdał, kawa<br />Nuty serca: tuberoza, jaśmin<br />Nuty podstawy: fasolka tonka, kakao, drzewo sandałowe i wanilia.<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
"DE002","Miniaturka wody perfumowanej La Rosita","<h4><big>Informacje</big><strong></strong><strong></strong><br /><strong></strong></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.  <br /><br />Kategoria zapachu: kwiatowa<br />Nuty głowy: piwonia, frezja, liczi<br />Nuty serca: magnolia, róża, konwalia<br />Nuty bazy: ambra, drewno cedrowe<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność 1 ml</p><div class=""page-break""><!-- pagebreak --></div>",
